,Rank,Player Name,Round
132,133,Seth Jones,8
133,134,Jason Zucker,8
134,135,Charlie McAvoy,8
135,136,Max Domi,8
136,137,Anthony Cirelli,8
137,138,Oliver Ekman-Larsson,8
138,139,Ryan Strome,8
139,140,Tyler Toffoli,8
140,141,Conor Garland,8
141,142,Rasmus Ristolainen,8
142,143,Neal Pionk,8
143,144,Jeff Petry,8
144,145,Ryan Suter,9
145,146,Logan Couture,9
146,147,Alexander Radulov,9
147,148,Nazem Kadri,9
148,149,Cam Atkinson,9
149,150,Chris Kreider,9
150,151,Jaccob Slavin,9
151,152,Ryan Ellis,9
152,153,Adam Fox,9
153,154,Ivan Provorov,9
154,155,Matt Dumba,9
155,156,Pavel Buchnevich,9
156,157,Mackenzie Blackwood,9
157,158,Jordan Eberle,9
158,159,Devon Toews,9
159,160,Kailer Yamamoto,9
160,161,Jonathan Toews,9
161,162,Colton Parayko,9
162,163,Christian Dvorak,10
163,164,Braden Holtby,10
164,165,Jacob Trouba,10
165,166,Zach Hyman,10
166,167,Drew Doughty,10
167,168,Nico Hischier,10
168,169,Mikael Backlund,10
169,170,Kevin Hayes,10
170,171,T.J. Oshie,10
171,172,John Klingberg,10
172,173,Eric Staal,10
173,174,Shea Weber,10
174,175,David Krejci,10
175,176,Tanner Pearson,10
176,177,Keith Yandle,10
177,178,Jaden Schwartz,10
178,179,Erik Gustafsson,10
179,180,Anthony Beauvillier,10
180,181,Rickard Rakell,11
181,182,Tyler Bertuzzi,11
182,183,Vincent Trocheck,11
183,184,Collin Delia,11
184,185,Filip Hronek,11
185,186,Thomas Greiss,11
186,187,Viktor Arvidsson,11
187,188,Josh Bailey,11
188,189,James van Riemsdyk,11
189,190,Ilya Mikheyev,11
190,191,Alex Killorn,11
191,192,Dylan Strome,11
192,193,Elvis Merzlikins,11
193,194,Evgenii Dadonov,11
194,195,Jakob Chychrun,11
195,196,Phil Kessel,11
196,197,Kyle Palmieri,11
197,198,Jared Spurgeon,11
198,199,Mattias Ekholm,12
199,200,Joe Pavelski,12
200,201,Blake Coleman,12
201,202,Kevin Labanc,12
202,203,Adam Henrique,12
203,204,Kaapo Kakko,12
204,205,Michael Matheson,12
205,206,Alex Iafallo,12
206,207,Josh Morrissey,12
207,208,Mikael Granlund,12
208,209,Jakob Silfverberg,12
209,210,Robert Thomas,12
210,211,Juuse Saros,12
211,212,Damon Severson,12
212,213,Andre Burakovsky,12
213,214,Devan Dubnyk,12
214,215,Jake Virtanen,12
215,216,Nick Suzuki,12
216,217,Jean-Gabriel Pageau,13
217,218,Ondrej Palat,13
218,219,Victor Olofsson,13
219,220,Matt Murray,13
220,221,Tyler Myers,13
221,222,Alexander Edler,13
222,223,Jeff Skinner,13
223,224,Jonathan Drouin,13
224,225,Jake DeBrusk,13
225,226,Alex Goligoski,13
226,227,Andreas Johnsson,13
227,228,Jared McCann,13
228,229,Paul Stastny,13
229,230,Chris Tierney,13
230,231,Petr Mrazek,13
231,232,Samuel Girard,13
232,233,Pekka Rinne,13
233,234,Roope Hintz,13
234,235,Semyon Varlamov,14
235,236,Ryan Getzlaf,14
236,237,Andreas Athanasiou,14
237,238,Jake Muzzin,14
238,239,Noah Hanifin,14
239,240,Oskar Lindblom,14
240,241,Nate Schmidt,14
241,242,Brandon Saad,14
242,243,Vince Dunn,14
243,244,Lawson Crouse,14
244,245,Frank Vatrano,14
245,246,Denis Gurianov,14
246,247,Andrew Mangiapane,14
247,248,Zach Parise,14
248,249,Travis Sanheim,14
249,250,Cal Petersen,14
250,251,P.K. Subban,14
251,252,Dustin Brown,14
252,253,Connor Brown,15
253,254,Marco Rossi,15
254,255,Lars Eller,15
255,256,Alex Galchenyuk,15
256,257,Yanni Gourde,15
257,258,Patric Hornqvist,15
258,259,Scott Laughton,15
259,260,Duncan Keith,15
260,261,Brandon Montour,15
261,262,Ryan Graves,15
262,263,Nick Schmaltz,15
263,264,Erik Cernak,15
264,265,Cam Fowler,15
265,266,Ondrej Kase,15
266,267,Esa Lindell,15
267,268,Ilya Sorokin,15
268,269,Tyler Johnson,15
269,270,Vincent Hinostroza,15
270,271,Craig Smith,16
271,272,Brady Skjei,16
272,273,Danton Heinen,16
273,274,Brett Connolly,16
274,275,Justin Faulk,16
275,276,Calle Jarnkrok,16
276,277,Vladislav Namestnikov,16
277,278,Dylan Cozens,16
278,279,Colin White,16
279,280,Charlie Coyle,16
280,281,Jordan Staal,16
281,282,Luke Kunin,16
282,283,Nino Niederreiter,16
283,284,Hampus Lindholm,16
284,285,Barclay Goodrow,16
285,286,Valeri Nichushkin,16
286,287,Jesper Bratt,16
287,288,Alex Tuch,16
288,289,Nikita Zadorov,17
289,290,Sam Steel,17
290,291,Sean Walker,17
291,292,Jonas Brodin,17
292,293,Anthony Duclair,17
293,294,Nick Foligno,17
294,295,Derek Stepan,17
295,296,Marcus Pettersson,17
296,297,Tyler Ennis,17
297,298,Adrian Kempe,17
298,299,Jack Hughes,17
299,300,Matt Grzelcyk,17
